X,Y,Z,列車名,種別,vertex_index,distance,angle
139.7065,35.54069,0,はやぶさ,本線,138,0.159597305,219.0805045
139.70539,35.53936,0,はやぶさ,本線,139,0.161329644,220.0537039
139.70351,35.53714,0,はやぶさ,本線,140,0.164238733,220.485168
139.70314,35.53671,0,はやぶさ,本線,141,0.164806008,220.3408865
139.70257,35.53603,0,はやぶさ,本線,142,0.165693307,221.9999522
139.70228,35.53573,0,はやぶさ,本線,143,0.16611056,224.514489
139.70212,35.53557,0,はやぶさ,本線,144,0.166336834,229.3730811
139.70182,35.53535,0,はやぶさ,本線,145,0.166708855,233.0259609
139.7016,35.53518,0,はやぶさ,本線,146,0.166986884,229.4065976
139.70121,35.53481,0,はやぶさ,本線,147,0.167524471,228.8554418
139.7007,35.5344,0,はやぶさ,本線,148,0.168178841,231.1868115
139.69988,35.53374,0,はやぶさ,本線,149,0.169231457,231.5615663
139.69942,35.53338,0,はやぶさ,本線,150,0.16981558,234.131445
139.69939,35.53336,0,はやぶさ,本線,151,0.169851636,235.1169605
139.69869,35.53285,0,はやぶさ,本線,152,0.170717719,233.7112737
139.69819,35.53248,0,はやぶさ,本線,153,0.171339732,232.6499369
139.69758,35.532,0,はやぶさ,本線,154,0.172115941,231.1448771
139.69604,35.53073,0,はやぶさ,本線,155,0.174112062,229.6512571
139.6958,35.53052,0,はやぶさ,本線,156,0.174430966,228.8140748
139.69564,35.53038,0,はやぶさ,本線,157,0.174643569,228.8484867
139.69446,35.52935,0,はやぶさ,本線,158,0.176209871,228.8257141
139.69357,35.52857,0,はやぶさ,本線,159,0.177393298,228.6360307
139.69331,35.52834,0,はやぶさ,本線,160,0.177740429,227.675571
139.69315,35.52819,0,はやぶさ,本線,161,0.177959746,227.9666135
139.693,35.52806,0,はやぶさ,本線,162,0.17815824,227.9666135
139.69284,35.52791,0,はやぶさ,本線,163,0.178377557,227.5137202
139.69246,35.52757,0,はやぶさ,本線,164,0.178887459,228.1976571
139.69199,35.52715,0,はやぶさ,本線,165,0.179517777,229.0211714
139.69077,35.52612,0,はやぶさ,本線,166,0.18111443,230.268726
139.68956,35.52513,0,はやぶさ,本線,167,0.182677823,230.5181669
139.68827,35.52406,0,はやぶさ,本線,168,0.18435383,229.796817
139.68791,35.52375,0,はやぶさ,本線,169,0.184828909,229.3001036
139.6872,35.52314,0,はやぶさ,本線,170,0.185764965,230.5875437
139.68636,35.52248,0,はやぶさ,本線,171,0.186833235,230.3570148
139.68565,35.52186,0,はやぶさ,本線,172,0.187775837,229.1072481
139.6848,35.52113,0,はやぶさ,本線,173,0.188896284,229.6211662
139.68404,35.52049,0,はやぶさ,本線,174,0.189889863,229.9764593
139.68324,35.51982,0,はやぶさ,本線,175,0.190933367,230.0414498
139.68256,35.51925,0,はやぶさ,本線,176,0.191820666,228.2414845
139.68155,35.51829,0,はやぶさ,本線,177,0.193214115,227.2931803
139.6806823,35.51751232,0,はやぶさ,本線,178,0.194379341,228.1324652
139.68049,35.51734,0,はやぶさ,本線,179,0.194637526,227.300633
139.68009,35.51696,0,はやぶさ,本線,180,0.195189251,223.9682531
139.67971,35.51653,0,はやぶさ,本線,181,0.195763098,221.3268153
139.6795,35.51629,0,はやぶさ,本線,182,0.196082002,217.9405393
139.67932,35.51603,0,はやぶさ,本線,183,0.19639823,213.2613001
139.67896,35.51545,0,はやぶさ,本線,184,0.197080872,211.5686985
139.67837,35.51448,0,はやぶさ,本線,185,0.198216213,211.6576668
139.67827,35.51432,0,はやぶさ,本線,186,0.198404893,210.0012653
139.67785,35.51353,0,はやぶさ,本線,187,0.199299599,206.6874456
139.67748,35.51275,0,はやぶさ,本線,188,0.200162907,205.6760689
139.6771,35.51197,0,はやぶさ,本線,189,0.201030547,201.2657327
139.67699,35.5116,0,はやぶさ,本線,190,0.201416553,194.8455468
139.67692,35.5113,0,はやぶさ,本線,191,0.201724611,193.5851329
139.67649,35.50958,0,はやぶさ,本線,192,0.203497546,192.9624508
139.67645,35.50939,0,はやぶさ,本線,193,0.203691711,192.2845208
139.67609,35.50779,0,はやぶさ,本線,194,0.205331711,192.8375001
139.676,35.5074,0,はやぶさ,本線,195,0.205731961,192.5256897
139.67578,35.50637,0,はやぶさ,本線,196,0.206785194,193.2753151
139.6754,35.5049,0,はやぶさ,本線,197,0.208303516,194.8509535
139.67512,35.50387,0,はやぶさ,本線,198,0.209370896,197.5200845
139.6749,35.50326,0,はやぶさ,本線,199,0.210019356,206.8692034
139.67449,35.50265,0,はやぶさ,本線,200,0.210754339,215.7707654
139.67385,35.50182,0,はやぶさ,本線,201,0.211802432,219.8864243
139.67347,35.5014,0,はやぶさ,本線,202,0.212368824,223.0662544
139.67291,35.50082,0,はやぶさ,本線,203,0.21317505,227.5991809
139.6724,35.50041,0,はやぶさ,本線,204,0.21382942,230.7589968
139.67193,35.50002,0,はやぶさ,本線,205,0.214440157,230.1970768
139.66801,35.49674,0,はやぶさ,本線,206,0.2195514,230.3951005
139.66768,35.49647,0,はやぶさ,本線,207,0.21997778,227.8552966
139.66764,35.49643,0,はやぶさ,本線,208,0.220034348,226.8576445
139.66723,35.49607,0,はやぶさ,本線,209,0.220579967,232.9297836
139.66627,35.49545,0,はやぶさ,本線,210,0.221722771,235.9633425
139.66525,35.49473,0,はやぶさ,本線,211,0.22297129,233.7737865
139.6651364,35.49464368,0,はやぶさ,本線,212,0.223113955,232.765166
139.665,35.49454,0,はやぶさ,本線,213,0.223285296,231.9558958
139.66464,35.49425,0,はやぶさ,本線,214,0.223747573,227.4887432
139.6644,35.494,0,はやぶさ,本線,215,0.224094128,223.2701253
139.66416,35.49374,0,はやぶさ,本線,216,0.224447964,218.1997287
139.66408,35.49362,0,はやぶさ,本線,217,0.224592186,212.8477254
139.66393,35.49338,0,はやぶさ,本線,218,0.224875205,214.0163783
139.66385,35.49327,0,はやぶさ,本線,219,0.22501122,214.8587205
139.66355,35.49282,0,はやぶさ,本線,220,0.225552053,216.0287765
139.66336,35.49258,0,はやぶさ,本線,221,0.225858157,219.9319769
139.66313,35.49232,0,はやぶさ,本線,222,0.226205288,223.2482342
139.6629,35.49209,0,はやぶさ,本線,223,0.226530557,227.3429499
139.66257,35.49181,0,はやぶさ,本線,224,0.226963339,230.9315728
139.66181,35.49122,0,はやぶさ,本線,225,0.227925472,234.5329519
139.66112,35.49077,0,はやぶさ,本線,226,0.228749244,235.0093802
139.66096,35.49065,0,はやぶさ,本線,227,0.228949244,234.2174744
139.66044,35.49029,0,はやぶさ,本線,228,0.2295817,237.0980188
139.65986,35.48994,0,はやぶさ,本線,229,0.230259121,240.2952177
139.65856,35.48924,0,はやぶさ,本線,230,0.231735603,240.9771815
139.65828,35.48908,0,はやぶさ,本線,231,0.232058094,241.441569
139.65687,35.48835,0,はやぶさ,本線,232,0.233645859,241.5912953
139.65625,35.488,0,はやぶさ,本線,233,0.234357829,240.4654113
139.65574,35.48771,0,はやぶさ,本線,234,0.234944514,240.7335338
139.65507,35.48734,0,はやぶさ,本線,235,0.23570989,242.2628826
139.65491,35.48726,0,はやぶさ,本線,236,0.235888775,241.0709549
139.6544,35.48695,0,はやぶさ,本線,237,0.2364856,241.0709549
139.65388,35.48669,0,はやぶさ,本線,238,0.237066978,244.6447034
139.6533,35.48643,0,はやぶさ,本線,239,0.237702588,246.1125402
139.65298,35.48629,0,はやぶさ,本線,240,0.238051873,244.9027855
139.65288,35.48624,0,はやぶさ,本線,241,0.238163676,247.3616055
139.65226,35.48603,0,はやぶさ,本線,242,0.238818275,250.5317013
139.65188,35.48589,0,はやぶさ,本線,243,0.239223244,252.7553141
139.65129,35.48574,0,はやぶさ,本線,244,0.239832014,257.2127776
139.65049,35.48558,0,はやぶさ,本線,245,0.240647857,261.4897372
139.65009,35.48554,0,はやぶさ,本線,246,0.241049852,265.6768667
139.6497,35.48552,0,はやぶさ,本線,247,0.241440364,267.2006629
139.64927,35.4855,0,はやぶさ,本線,248,0.241870829,266.6256912
139.64913,35.48549,0,はやぶさ,本線,249,0.242011186,267.2227913
139.64874,35.48548,0,はやぶさ,本線,250,0.242401314,268.224317
139.64819,35.48546,0,はやぶさ,本線,251,0.242951678,266.2385513
139.64798,35.48544,0,はやぶさ,本線,252,0.243162628,263.7893053
139.647,35.48532,0,はやぶさ,本線,253,0.244149947,262.594933
139.6462,35.48521,0,はやぶさ,本線,254,0.244957475,262.7944894
139.64568,35.48515,0,はやぶさ,本線,255,0.245480925,262.8264447
139.64524,35.48509,0,はやぶさ,本線,256,0.245924997,258.8822699
139.64493,35.48501,0,はやぶさ,本線,257,0.246245153,254.792155
139.64416,35.48479,0,はやぶさ,本線,258,0.247045965,253.7487664
139.64342,35.48457,0,はやぶさ,本線,259,0.247817975,252.8491285
139.64317,35.48449,0,はやぶさ,本線,260,0.248080463,252.746387
139.64234,35.48424,0,はやぶさ,本線,261,0.248947297,252.9663079
139.64035,35.48362,0,はやぶさ,本線,262,0.251031643,252.718108
139.63932,35.4833,0,はやぶさ,本線,263,0.252110207,252.7712522
139.6389,35.48317,0,はやぶさ,本線,264,0.252549866,250.2364012
139.63834,35.48294,0,はやぶさ,本線,265,0.253155258,245.260831
139.63795,35.48274,0,はやぶさ,本線,266,0.253593551,241.7462824
139.63715,35.48229,0,はやぶさ,本線,267,0.254511429,235.1640731
139.63682,35.48201,0,はやぶさ,本線,268,0.25494421,227.8902952
139.63602,35.48124,0,はやぶさ,本線,269,0.256054571,225.5473453
139.63585,35.48107,0,はやぶさ,本線,270,0.256294987,225
139.63575,35.48097,0,はやぶさ,本線,271,0.256436408,223.910122
139.63436,35.47947,0,はやぶさ,本線,272,0.258481427,222.7846052
139.633749,35.478809,0,はやぶさ,本線,273,0.259381561,222.7342405
139.63223,35.477164,0,はやぶさ,本線,274,0.26162062,222.7007304
139.63159,35.47647,0,はやぶさ,本線,275,0.262564673,222.7443558
139.63046,35.47525,0,はやぶさ,本線,276,0.264227592,222.8986058
139.62991,35.47466,0,はやぶさ,本線,277,0.26503419,222.6503379
139.6292,35.47388,0,はやぶさ,本線,278,0.266088941,222.2058264
139.62845,35.47305,0,はやぶさ,本線,279,0.267207601,221.2937174
139.62775,35.47223,0,はやぶさ,本線,280,0.268285748,220.3164576
139.62678,35.47108,0,はやぶさ,本線,281,0.269790208,220.103844
139.62567,35.46976,0,はやぶさ,本線,282,0.271514882,221.2485071
139.62503,35.46906,0,はやぶさ,本線,283,0.272463354,221.3456653
139.62387,35.46769,0,はやぶさ,本線,284,0.274258486,220.4753159
139.62344,35.46719,0,はやぶさ,本線,285,0.274917956,221.1645352
139.6232,35.46692,0,はやぶさ,本線,286,0.275279204,221.5999545
139.62179,35.46533,0,はやぶさ,本線,287,0.277404339,219.9922125
139.62133,35.46475,0,はやぶさ,本線,288,0.278144609,223.2154214
139.62073,35.46421,0,はやぶさ,本線,289,0.278951827,225
139.62055,35.46401,0,はやぶさ,本線,290,0.279220899,222.2752821
139.6201,35.46352,0,はやぶさ,本線,291,0.279886181,222.0984455
139.61986,35.46325,0,はやぶさ,本線,292,0.280247429,221.8202037
139.61841,35.46164,0,はやぶさ,本線,293,0.282414131,224.7482105
139.61829,35.46153,0,はやぶさ,本線,294,0.28257692,224.8312142
139.61752,35.46068,0,はやぶさ,本線,295,0.283723829,222.4818739
139.6159,35.45893,0,はやぶさ,本線,296,0.286108551,222.5439642
139.61479,35.45771,0,はやぶさ,本線,297,0.287757945,222.4718795
139.61374,35.45657,0,はやぶさ,本線,298,0.289307816,225
139.61298,35.45587,0,はやぶさ,本線,299,0.290341063,228.5433676
139.61213,35.45515,0,はやぶさ,本線,300,0.29145502,233.7417321
139.61129,35.45462,0,はやぶさ,本線,301,0.292448247,240.9038652
139.61092,35.45444,0,はやぶさ,本線,302,0.292859708,243.0602808
139.6096,35.45374,0,はやぶさ,本線,303,0.294353829,241.2545868
139.60766,35.45264,0,はやぶさ,本線,304,0.296583986,240.598745
139.60516,35.45124,0,はやぶさ,本線,305,0.299449296,240.2888268
139.60473,35.45099,0,はやぶさ,本線,306,0.299946689,239.7850214
139.60425,35.45071,0,はやぶさ,本線,307,0.300502387,236.4851427
139.6033,35.45,0,はやぶさ,本線,308,0.301688389,230.4765167
139.60286,35.4496,0,はやぶさ,本線,309,0.302283032,226.9778227
